Distributor Name,Medicine Name,State,District,City,Address,Contact Number,Verified,Additional Notes,Created Time,Updated Time
"APTE AGENCIES, (CHQ)",Tocilizumab,Maharashtra,,,"729/3/4 CHATRAPATI COLONYKURDUWADI ROADBARSHIDIST SOLAPUR,BARSHI,413401",,,,,
APEX PHARMA,Tocilizumab,Maharashtra,,,"HALL NO. 3 , 2 ND FLOORNAGAR PARISHAD COMPLEX,DATTA CHOWK,YAWATMAL,YAVATMAL,445001",,,,,
ANGI AGENCY,Tocilizumab,Gujarat,,,"GF-39,STATION ROADSHIVGANGA COMPLEXBALVA,AHMEDABAD,382220",,,,,
APANA ASSOCIATES,Tocilizumab,Gujarat,,,"MAYOR GALINR. BUS STANDMODASA 383 315,MODASA,383315",,,,,
A.B.C. DISTRIBUTORS,Tocilizumab,Gujarat,,,"401/402/403SURAT DAWA BAZARVASTADEVDI RDKATARGAMSURAT,SURAT,395004",,,,,
ABHILASHA AGENCY,Tocilizumab,Gujarat,,,"1ST FLOOR ""JIVRAJ BHUVAN""NR:STATE BANK OF SAURASHTRA ;LIBRARY ROAD , AMRELI-
365601PHONE:223633:226103:9825235105,AMRELI,365601",,,,,
ATUL MEDICO,Tocilizumab,Gujarat,,,"12, 2654, MEHERVAN PARKVANKI BORDI, SAIYADPURASURAT,SURAT,395003",,,,,
AMAR ENTERPRISE,Tocilizumab,Gujarat,,,"IST FLOOR, MINAL SHOPPING CENTRESUMAIR CLUB RD,JAMNAGARTELE 0288 2557207
2550151(R)02882563127,JAMNAGAR,361005",,,,,
ANKUR DISTRIBUTORS,Tocilizumab,Gujarat,,,"8. A TO Z, SUPER MARKET,MEMON MARKET COMPLEX,STATION ROADKALOL,KALOL,382721",,,,,
AMEE ENTERPRISE,Tocilizumab,Gujarat,,,"B/H. GUJRATI KUMAR SHALA NO 1SHIYAPURAROAPURA, BARODABARODA 390 001,BARODA,390001",,,,,
ARMAAN PHARMA DISTRIBUTORS,Tocilizumab,Punjab,,,"PINDI STREET,LUDHIANA,LUDHIANA,141008",,,,,
APEX SALES,Tocilizumab,Jammu & Kashmir,,,"RAGHUNATHPURA,OPP. UNION BANK OF INDIA,JAMMU,JAMMU,180001",,,,,
AJAY MEDICINE TRADER,Tocilizumab,Jammu & Kashmir,,,"PAUL MARKET,SHALAMAR ROAD,JAMMU (J & K STATE),JAMMU,180001",,,,,
AGGARWAL MEDICOSE,Tocilizumab,Haryana,,,"CROSS ROAD NO. 1OPP DATTA HOSPITALAMBALA CANTT,AMBALA,133001",,,,,
ADARSH MEDICAL STORE,Tocilizumab,Uttar Pradesh,,,"NEAR JAI MEDICO,KUTCHERY ROAD,RAE BARELIU.P.,RAE BARELI,229001",,,,,
ASTHA MEDICAL AGENCY(ALD),Tocilizumab,Uttar Pradesh,,,"83/85,LEADER ROADALLAHABAD,ALLAHABAD,211003",,,,,
AGRAWAL MEDICAL STORE AZAMGARH,Tocilizumab,Uttar Pradesh,,,"SARDA KATRAASIFGANJAZAMGARH,AZAMGARH,276001",,,,,
ADITYA MEDICAL AGENCY,Tocilizumab,Uttar Pradesh,,,"325,,GOPIGANJG T Rd BARDWARIGOPIGANJ,SANT RAVIDAS NAGAR,221303",,,,,
"AGARWAL MEDICAL AGENCIES, ( BAHRAIC",Tocilizumab,Uttar Pradesh,,,"DOCTOR'S ROAD,BAHRAICH,BAHARAICH,271801",,,,,
AGRAWAL TRADERS,Tocilizumab,Bihar,,,"R S LAL BHAWANTEKARI ROADGAYA,GAYA,823001",,,,,
AMAR MEDICAL,Tocilizumab,West Bengal,,,"44, EZRA STREET, GANDHI BUILDING,GANDHI BUILDING, GROUND FLOOR,SHOP NO 12(B)KOLKATA 700
001,KOLKATA 700 001,700001",,,,,
ANILA PHARMA,Tocilizumab,Tamil Nadu,,,"2/1, I FLOOR, SENGUNTHAPURAM 6TH CROSSNEAR MORNING STAR SCHOOLKARUR 1,KARUR,639001",,,,,
AMRUTHA AGENCIES,Tocilizumab,Telangana,,,"8-12-148/5,D.S.TEMPLE LANE,WARANGAL,WARANGAL,506002",,,,,
AKSHAYA MEDICAL & SURGICAL AGENCIES,Tocilizumab,Telangana,,,"PLOT NO F-4/B/1GANDHI NAGAR IDAQUTHBULLAPUR MANDALMEDCHAL MALKAJGIRI,HYDERABAD,500037",,,,,
DR.ACHARYA PHARMACEUTICALS (P) LTD,Tocilizumab,Odisha (Orissa),,,"PLOT NO.301/BKHARAVEL NAGARBHUBANESWAR 751001ORISSA,BHUBANESWAR,751001",,,,,
AVIGHNA ASSOCIATES KOLLAM,Tocilizumab,Kerala,,,"V 188 G 1ST FLOOR THRIKKAKARACOCHIN PUBLIC SCHOOL
ROADKANAYANNURTHRIKKAKARAERNAKULAM,ERNAKULAM,682021",,,,,
AVIGHNA ASSOCIATES ERNAKULAM,Tocilizumab,Kerala,,,"V 188 G 1ST FLOOR THRIKKAKARACOCHIN PUBLIC SCHOOL
ROADTHRIKKAKARACOCHINERNAKULAM,ERNAKULAM,682021",,,,,
AVIGHNA ASSOCIATES CANANNORE,Tocilizumab,Kerala,,,"V 188 G 1ST FLOOR THRIKKAKARACOCHIN PUBLIC SCHOOL
ROADKANAYANNURTHRIKKAKARAERNAKULAM,ERNAKULAM,682021",,,,,
AVIGHNA ASSOCIATES CALICUT,Tocilizumab,Kerala,,,"UGRA ARCADE THALICHALAPPURACalicutCalicutCalicut,CALICUT,673002",,,,,
ASWATHI AGENCIES,Tocilizumab,Kerala,,,"28/442 A & B ,ASWATHY BUILDING ,CLUB ROADOPP TO GIRINAGAR L P
SCHOOL,KADAVANTHRAERNAKULAM,KADAVANTHRA,682020",,,,,
SRI ANANDALAKSHMI AGENCIES,Tocilizumab,Karnataka,,,"ALA ARCADE' IST FLOOR3RD CROSS M G ROAD,TUMKUR,572101",,,,,
ANKITA MEDICAL DISTRIBUTORS,Tocilizumab,Karnataka,,,"K NO 479:430(ABOVE SELLAR)28TH WARD,BEHIND K.B.PILLAPPA
COMPLEX,KORACHARAPETECHICKBALLAPUR,CHICKBALLAPUR,562101",,,,,
BAKLIWAL BROTHERS(IND),Tocilizumab,Madhya Pradesh,,,"LG-20,21,22 DAWA BAZAR13-14,, R.N.T. MARGINDOREINDORE (M.P.),INDORE,452001",,,,,
BABA MEDICAL AGNECIES(HOS),Tocilizumab,Madhya Pradesh,,,"BESIDES VAKRATUNDYA COMPLEX,WARD NO.28, KRISHNAPURI DISTRICT,HOSHANGABAD,
(M.P.)HOSHANGABAD, (M.P.),HOSHANGABAD,461001",,,,,
BHARAT DISTRIBUTORS(CHQ),Tocilizumab,Maharashtra,,,"MEDICINE MARKET18 A RADHAKISHAN WADIJILHA PETHJALGAON,JALGAON 431 001,431001",,,,,
BHAGIRATH DISTRIBUTORS ( AURANGABAD,Tocilizumab,Maharashtra,,,"SHOP NO 8/9/10, SURANA APTBARUDGAR NALAAURANGPURAAURANGABAD,AURANGPURA,431001",,,,,
BORA AGENCIES (CHQ),Tocilizumab,Maharashtra,,,"""""""AJAY BULDING""""""3340, BURUD LANEAHMEDNAGARMAHARASHTRA,AHMEDNAGAR,414001",,,,,
BHAGIRATH AGENCY(CHQ),Tocilizumab,Maharashtra,,,"SHOP NO 1 AND 2, WING NO 6,CHATRAPATI SHIVAJI MAHARAJ SANKUL,DAWA BAZAR, JALNA,JALNA,431203",,,,,
BAJAJ MEDICAL STORES,Tocilizumab,Maharashtra,,,"GURUWAR PETHAMBEJOGAIDIST BEEDX,AMBEJOGAI,431517",,,,,
BRAHMHGIRI ENTERPRISES (CHQ),Tocilizumab,Maharashtra,,,"SHRIRAM CHHAYA,10 KAPSE LANEMALEGAONDIST NASIK,MALEGAON,423203",,,,,
BHARAT AGENCIES (LATUR)(CHQ),Tocilizumab,Maharashtra,,,"SHOP NO 1 , H NO R 6/266MASJID ROAD, SALLE GALLI ROADBELOW SANGAMESHWAR
HOSTELLATUR,LATUR,413512",,,,,
BALDAWA ENTERPRISES (CHQ),Tocilizumab,Maharashtra,,,"SHOP NO F-7-12, 1ST FLOORDAMANI COMPLEX,DATTA CHOWKSOLAPUR,SOLAPUR,413007",,,,,
BALAJI AGENCIES (CHQ),Tocilizumab,Maharashtra,,,"ABOVE VISHWESH MEDICAL STORESNEW MONDHA RDPARBHANIX,PARBHANI 431 401,431401",,,,,
BAHETI DISTRIBUTORS (CHQ),Tocilizumab,Maharashtra,,,"542, SOUTH KASBANEAR DATE GANAPATI TEMPLESOLAPUR413007,SOLAPUR,413007",,,,,
BAFNA MEDICO,Tocilizumab,Maharashtra,,,"S.NO 135, PLOT NO. 1,2,3 AND S.NO 136 PLOT NO.1GUNJALWADI, TALUKA SANGAMNER,SANGAMNERDIST
AHMADNAGAR,SANGAMNER,422605",,,,,
BALAJI AGENCIES,Tocilizumab,Maharashtra,,,"SHOP NO. 12,13,16 &17, DAWA BAZARPLOT NO. 9, SHRAWAGI PLOT,HOLICROSS CONVENT
ROAD,AKOLA,AKOLA,444001",,,,,
BADSHAH MEDICAL AGENCIES,Tocilizumab,Gujarat,,,"G/F., CHAMAN MANZIL,HUSAINI MOHALLA,DR. STS MARG,DAHOD,DAHOD,389151",,,,,
BHAKTI CORPORATION,Tocilizumab,Gujarat,,,"19, GAJJAR CHAMBERSDETROJ RDKADI - 382 175(B.K. TO. S S C),KADI,382175",,,,,
B M PHARMA,Tocilizumab,Gujarat,,,"A/65, 1ST. FLOORKILACHAND SHOPPING CENTERPATAN-384 265,PATAN,384265",,,,,
BHARAT MEDICAL AGENCY,Tocilizumab,Gujarat,,,"F-FAILASH COMPLEXBUS STATION RD.GONDAL,GONDAL,360311",,,,,
B K AGENCY,Tocilizumab,Gujarat,,,"AMIR ROADPALANPURTELE-02742-7049F 9,PALANPUR,385001",,,,,
BRITISH MEDIDEALS,Tocilizumab,Delhi,,,"B-46, LAWRENCE ROAD,INDUSTRIAL AREADELHI.,DELHI,110035",,,,,
BHARAT ENTERPRISES,Tocilizumab,Haryana,,,"6275/111,, NICHOLSON ROADGROUND AND 1ST FLOOR, WEST SIDE PROPERTYAMBALA CANTTAMBALA
CANTT,AMBALA,133001",,,,,
BHAWANI DRUG DISTRIBUTORS,Tocilizumab,Bihar,,,"iFIRST FLOOROPP IMLI CHATTI PETROL PUMPKISHORE COMPLEX,MUZAFFARPUR,842001",,,,,
BANSAL ENTERPRISERS,Tocilizumab,Odisha (Orissa),,,"OPP:UNION BANKMARWARIPARAJHARSUGUDA.,JHARSUGUDA,768201",,,,,
BALAJI PHARMA DISTRIBUTORS,Tocilizumab,Telangana,,,"DOOR NO:4-1-68,MALLIKARJUNA COMPLEXOSMANPURAKARIMNAGAR,KARIMNAGAR,505001",,,,,
BALAJI MEDICAL CORPORATION,Tocilizumab,Andhra Pradesh,,,"9-10-51A, D.S BUILDINGSNAAZ CENTREGUNTUR 522 001,GUNTUR,522001",,,,,
SRI BABA MEDICAL DISTRIBUTORS,Tocilizumab,Andhra Pradesh,,,"11-37-24A, CHIPPADAVARI STREETVIJAYAWADA 520 0016652845,6652947,VIJAYAWADA,520001",,,,,
BIGFIELD DRUG LINKS,Tocilizumab,Kerala,,,"PMC VIII/510(5&7)BIGFIELDS & PARTNERS AVENUEGENERAL HOSPITAL ,MELEVETTIPURAM
ROADPATHANAMTHITTA,PATHANAMTHITTA,689645",,,,,
BHARAT MEDICAL AND GENERAL AGENCIES,Tocilizumab,Karnataka,,,"NO.1980, 2ND FLOOR,26TH CROSS, 9TH MAIN,BANASHANKARI 2ND STAGE,BANGALORE,BANGALORE,560070",,,,,
VAMAN PHARMA Pvt LTD DIRECT SUPPL,Tocilizumab,Karnataka,,,"No. 152/16, Ground & First Floor,Dorasanipalya, Bilekahalli Village,Begur Hobli,Off Bannerghatta Road,Opp to
IIM,Bangalore 560 076.,BANGALORE,560076",,,,,
M/S.BHARAT MEDICAL AND GENERAL AGEN,Tocilizumab,Karnataka,,,"NO.1980, 2ND FLOOR,26TH CROSS, 9TH MAIN,BANASHANKARI 2ND STAGE,BANGALORE,BANGALORE,560070",,,,,
C.T.DISTRIBUTORS,Tocilizumab,Maharashtra,,,"OFFICE NO 1, GROUND FLOOR858/859, SADASHIV PETHNEAR DNYAN PRABODHINIPUNE,PUNE,411030",,,,,
CITY CHEMIST BILASPUR,Tocilizumab,Chhattisgarh,,,"18,19, MEDICAL COMPLEXBEHIND HOTEL AJIT,TELIPARABILASPUR,BILASPUR,495001",,,,,
CITY CHEM AMBIKAPUR,Tocilizumab,Chhattisgarh,,,"NEW BUS STAND ROADAMBIKAPURDIST SURGUJA,AMBIKAPUR,497001",,,,,
CHANDAN PHARMACEUTTICAL (PUNE),Tocilizumab,Maharashtra,,,"GR. FLOOR SHOP,SR.NO.32/1,PLOT NO.8BEHIND MEHENDALE GARAGEERANDAVANEKothrudPUNE,PUNE,411004",,,,,
CHANDA AGENCIES,Tocilizumab,Maharashtra,,,"12-13 , DAWA BAZARMAHAVIR PLAZARALLIES PLOTAMRAWATI,AMRAVATI,444601",,,,,
M/S CHOUDHARY & CO,Tocilizumab,Maharashtra,,,"SHOP NO 9 / 10 / 11SANJIVANI SANKUL,GOLE COMPLEX,GOLE COLONY,X,NASHIK,422002",,,,,
CAMBAY MEDICAL AGENCY,Tocilizumab,Gujarat,,,"NANI UNCHI SERIKHAMBHAT.TELE-02698-20244F-11,KHAMBHAT,388620",,,,,
CHANDRAMAULI AGENCIES,Tocilizumab,Gujarat,,,"G-1, SUKHSHANTI COMPLEX,KALANALA.BHAVNAGAR ( GUJARAT),BHAVNAGAR,364001",,,,,
CHAUDHARY MEDICAL AGENCIES,Tocilizumab,Himachal Pradesh,,,"DHALPUR, TEH KULLUKULLU (H.P),KULLU,175101",,,,,
CHUGH MEDICOSE,Tocilizumab,Haryana,,,"6-7,GOPAL MEDICINE COMPLEXCIVIL ROADROHTAK-124 001HARYANA,ROHTAK,124001",,,,,
CENTRAL MEDICAL AGENCIES,Tocilizumab,Haryana,,,"6, DRUG STREET,CITY THANA ROADHISAR,HISAR,125001",,,,,
CHANDUKA AGENCIES,Tocilizumab,Odisha (Orissa),,,"MANIK GHOSE BAZARCUTTACK 753002..,CUTTACK,753002",,,,,
CHANDUKA AGENCIES BBSR,Tocilizumab,Odisha (Orissa),,,"MANIK GHOSE BAZARCUTTACK - 753002..,CUTTACK,753002",,,,,
CHELLAS VIDANKAR PHARMA DISTRIBUTOR,Tocilizumab,Tamil Nadu,,,"133A, Azad Road,VijayapuramOld Nagai Salai,TIRUVARUR,610001",,,,,
CANNANORE DRUG LINES,Tocilizumab,Kerala,,,"FORT ROADCANNANORE - 670001,CANNANORE,670001",,,,,
CLASSIC AGENCIES,Tocilizumab,Kerala,,,"IX/198E, A.P ARCADE,M.C. AVENUE,GURUVAYOOR ROADKUNNAMKULAM,TRICHUR,680503",,,,,
DULHANI MEDICAL AGENCIES,Tocilizumab,Chhattisgarh,,,"MAHARNI HOSPITAL ROAD,JAGDALPUR 494001MAHARNI HOSPITAL ROAD JAGDALPUR,JAGDALPUR,493773",,,,,
DUGGAD MEDICAL AGENCIES(UJN),Tocilizumab,Madhya Pradesh,,,"23, 24, 25, DAWA BAZAR,MADHAV CLUB ROAD,FREEGANJ,UJJAIN (M.P.),UJJAIN,456006",,,,,
DHRUVI PHARMA PVT LTD (IND),Tocilizumab,Madhya Pradesh,,,"Shop No/Plot No.:Plot No. 160-161Pu 4,Sch No. 54,Ab Road,Indore,INDORE (M P),INDORE,452010",,,,,
D.N.SANGHVI & SONS (INDORE),Tocilizumab,Madhya Pradesh,,,"13/9, 13/13 PIPALIA KUMARRING ROADINDOREINDORE (M.P.),INDORE,452010",,,,,
DOSHI ABHAY KUMAR CHAGANALAL,Tocilizumab,Maharashtra,,,"WHOLE SALE CHEMIST & DRUGGISTWARD NO. 6 GHAR NO.311STATION ROAD, P.B.NO 79, BARAMATIDIST
PUNE,BARAMATI,413102",,,,,
DWARAKA DISTRIBUTORS (CHQ),Tocilizumab,Maharashtra,,,"SHOP NO. 1, H NO. 2-11-28/25 , PLOT NO. 117BEHIND MARATHWADA HOSPITALBROBAN AREA, VAZIRABAI,
NANDEDX,NANDED,431601",,,,,
DHANWANTARI MEDICAL AGENCIES,Tocilizumab,Maharashtra,,,"TPS 11, FINAL PLOT NO :253,OPPOSITE OF VARAD OFFSET,NR. R. R. VIDHYALAYAJALGAON,JALGAON,425001",,,,,
DAGDIYA DISTRUBUTORS,Tocilizumab,Maharashtra,,,"PLOT NO. 74, SHEETNO.36 ,INFRONT OF COURT, CIVIL LINESWASHIM,WASHIM,444505",,,,,
D. D. AGENCY,Tocilizumab,Gujarat,,,"AZAD CHOWKJUNAGADHTELE-0285-22131F-12,JUNAGADH,362001",,,,,
DHRUVI PHARMA PVT. LTD.,Tocilizumab,Gujarat,,,"KTC HOUSE,SHAYONA SILVER ESTATE PART -2S G ROAD, GOTANEAR LAMBADA BESIDE AUDA WATER TANKBH
SILVER OAK COLLEGE,AHMEDABAD,382481",,,,,
DEEP DISTRIBUTORS,Tocilizumab,Gujarat,,,"POST BOX NO. 51 , NEHRU STREETVAPI,VAPI,396191",,,,,
DESAI MEDICAL STORE,Tocilizumab,Gujarat,,,"SHOP NO.26GROUND FLRMARUTI NANDAN COMPLEXMANDAL Rd. VIRAMGAMVIRAMGAM,VIRAMGAM,382125",,,,,
DEV PHARMACHEM INTERNATIONAL,Tocilizumab,Gujarat,,,"40 CELLERMADHAV DEEP COMPLEXBHAVNAGAR - 364002,BHAVNAGAR,364001",,,,,
DURGA MEDICINE AGENCIES,Tocilizumab,Haryana,,,"215/19 WARD NO 8,PARTAP COLONYBEHIND CENTRAL BANK OF INDIARAILWAY
ROADKURUKSHETRA,KURUKSHETRA,136118",,,,,
DHARAM MEDICAL AGENCY (CE),Tocilizumab,Uttar Pradesh,,,"SHOP NO-3 & 5, GOVIND PLAZA,BOUNDARY ROAD,MEERUT CANTT,MEERUT,MEERUT,250002",,,,,
DRUG CENTRE,Tocilizumab,Uttar Pradesh,,,"C/O SANDEEP SONI18 2 JHARNA GATENEW ROADJHANSI,JHANSI,284001",,,,,
D.N.ASSOCIATES,Tocilizumab,Uttar Pradesh,,,"SUGNAMAL MARKET,1ST FLOORSHOP NO.839, AMINABAD , LUCKNOWLUCKNOW,LUCKNOW,226018",,,,,
DRUG CENTRE (JUNPUR),Tocilizumab,Uttar Pradesh,,,"DHALGAR TOLACHOWK,JAUNPUR,JAUNPUR,222001",,,,,
DRUGS POINT,Tocilizumab,Odisha (Orissa),,,"HOTEL DINGODENA COMPLEXDINANATH LANEROURKELA 769001ROURKELA,ROURKELA,769001",,,,,
DURGA PHARMACEUTICALS,Tocilizumab,Odisha (Orissa),,,"GAIETY ROADSAMBALPUR 768001..,SAMBALPUR,768001",,,,,
DHANVANTARI DISTRIBUTORS(MNG),Tocilizumab,Karnataka,,,"NO. D NO. 1-1-44F, GROUND FLOOR,HEBBAR BLDG, KADIYALI,PO KUNJIBETTU,UDUPI,UDUPI,576102",,,,,
DEEPALI DRUG DISTRIBUTORS,Tocilizumab,Maharashtra,,,"HOUSE NO.412,GROUND & 1ST FLOOR,PLOT NO.5, KAMATGHAR,BABA RAMDEV MANDIR,
KANERIBHIWANDI,BHIWANDI,421302",,,,,
EVEREST ENTERPRISES,Tocilizumab,Karnataka,,,"PHARMACEUTICAL DISTRIBUTORSGEETANJALI, 10-1-70BKANAKADASA ROAD,UDUPI.,UDUPI,576101",,,,,
E C AGENCIES,Tocilizumab,Goa,,,"SHOP No. 12, BLDG. A,DATTA GIRI APTS.,VARDE VALAULIKAR ROAD, MARGAO, SALCETTE,,MARGAO,403601",,,,,
ARIHANT FINE PHARMA AGENCY,Tocilizumab,Gujarat,,,"MISTRY BUILDINGM.G.ROAD,BILIMORA,BILIMORA,396321",,,,,
GUJARAT MEDICINES,Tocilizumab,Gujarat,,,"F-48 TIRUPATI MARKETNEAR BUS STAND,SIDDHPUR,SIDDPUR,384151",,,,,
GANESH MEDICAL DISTRIBUTORS(CHQ),Tocilizumab,Maharashtra,,,"MILKAT NO 1394 SHANTAI BUILDINGKEDGAON STATION, TAL DAUNDDIST PUNEX,KEDGAON,412203",,,,,
GURUKRUPA MEDICAL AGENCY,Tocilizumab,Gujarat,,,"Y.K PALACE ,LUHARPOLEMACHALLIPITHSHAHPORESURAT,SURAT,395003",,,,,
GAJANAND MEDICAL STORES,Tocilizumab,Chhattisgarh,,,"MAIN ROAD, P.O. NAILADISTT JANJGIRCHHATTISGARH,NAILA,495668",,,,,
AUROBINDO DRUGS (GNT),Tocilizumab,Andhra Pradesh,,,"D.NO:8-72, BLOCK-IIPRASAD PLAZA,KAMAIAHTHOPU CENTER,M.G. ROADVIJAYAWADA,VIJAYAWADA,520007",,,,,
GURU NANIK MEDICAL AGENCIES KTN,Tocilizumab,Madhya Pradesh,,,"OPP. S.R. HIGH SCHOOL1ST FLOOR, SHUBHASH CHOWKKATNI PH 07622 R 53284 O 53773KATNI
483501,KATNI,483501",,,,,
GAURAV MEDICAL AGENCIES SATNA,Tocilizumab,Madhya Pradesh,,,"MEERA COMPLEX,JAGATDEV TALAB ROADSATNASATNA (MP),SATNA,485001",,,,,
GOPI MEDICAL STORES(IND),Tocilizumab,Madhya Pradesh,,,"97, L G DAWA BAZARR N T MARGINDOREINDORE (M.P.),INDORE,452001",,,,,
GURUKRAPA MEDICAL AGENCIES(KNW),Tocilizumab,Madhya Pradesh,,,"GURUKRIPA CHAMBERS,SHIVAJI CHOWK,KHANDWAGURUKRIPA CHAMBER, SHIVAJI CHOWK,KHANDWA M.P. 454
001,454001",,,,,
GAYATRI MEDICAL AGENCIES,Tocilizumab,Chhattisgarh,,,"MEDICAL COMPLEX38, OPP. HOTEL AJEETTELIPARABILASPUR,BILASPUR,495006",,,,,
GOUD PHARMA DHAR,Tocilizumab,Madhya Pradesh,,,"18, SHIVAJI MARGDHAN MANDIDHARDHAR (M.P.),DHAR,454001",,,,,
GREAT INDIA PHARMACEUTICALS,Tocilizumab,Maharashtra,,,"SHOP NO 38 - 39, GROUND FLOOR,SR. NO 244A-2, 244A-3, 244-7CST NO 4533, DAWA BAZAAR,CHINCHAWAD
STATION, CHINDCHAWAD,PIMPRI,411019",,,,,
GEETA MEDICAL AGENCIES,Tocilizumab,Maharashtra,,,"SHOP NO 112,13,14MAHAVIR PLAZAAMRAWATI,AMRAVATI,444601",,,,,
GAJANAN AGENCIES,Tocilizumab,Maharashtra,,,"PROPERTY NO 320,WARD NO-2A,DESHMUKH PLOT,CIVIL LINE,KHAMGAON,KHAMGAON,444303",,,,,
GANDHI AGENCEIS,Tocilizumab,Maharashtra,,,"""""""RATNATRAYA"""" 1 ST FLOOR""MARWADI GALLIMAHAVIR PETHOSMANABAD,OSMANABAD,413501",,,,,
M/S GAJANAN ENTERPRISES,Tocilizumab,Maharashtra,,,"HOUSE NO 2-10-274, GROUND FLOORSHOP NO-1, SAHYOG NAGAR,NEAR GANAPATI MANDIR,TALUKA
BEED,BEED,431122",,,,,
GOYAL AGENCIES,Tocilizumab,Maharashtra,,,"GOYAL TALKIES SQUARE,KAMPTEEDIST NAGPUR,KAMPTEE,441002",,,,,
GOPAL MEDICAL STORES,Tocilizumab,Maharashtra,,,"TALREJA'S SHIVAJI COMPLEX,BULDHANA ROAD,MALKAPUR,MALKAPUR,443101",,,,,
GOYAL MEDICOSE(TKM),Tocilizumab,Madhya Pradesh,,,"JHANSI ROAD BEHIND CHIEF STOREBHATNAGAR COLONYTIKAMGARHTIKAMGARH(M.P.),TIKAMGARH,472001",,,,,
GOVINDLAL NARANDAS GANDHI,Tocilizumab,Gujarat,,,"STATION ROAD,NR.POST OFFICEDHANDHUKA(DIST.AHMEDABAD)TELE 02713 72462F 15,AHMEDABAD,382460",,,,,
GAUTAM ENTERPRISES,Tocilizumab,Delhi,,,"WZ-69B, MUKHERJEE PARKTILAK NAGARNEW DELHINEW DELHI,DELHI,110018",,,,,
GANDHI MEDICAL HALL,Tocilizumab,Haryana,,,"KACCHA BERI ROAD,ROHTAK,ROHTAK,124001",,,,,
